#
# WHOIS Servers List
# Last updated on 21/06/2019
#

jor.br whois.nic.br
jot whois.nic.jot
joy whois.nic.joy
jp whois.jprs.jp
jp whois.jprs.jp
jpmorgan whois.nic.jpmorgan
jprs whois.nic.jprs
js.cn whois.cnnic.net.cn
juegos whois.uniregistry.net
juegos whois.nic.juegos
juniper whois.nic.juniper
k12.il whois.isoc.org.il
k12.tr whois.metu.edu.tr
kaufen whois.unitedtld.com
kaufen whois.unitedtld.com
kddi whois.nic.kddi
ke whois.kenic.or.ke
ke whois.kenic.or.ke
kerryhotels whois.nic.kerryhotels
kerrylogistics whois.nic.kerrylogistics
kerryproperties whois.nic.kerryproperties
kfh whois.nic.kfh
kg whois.domain.kg
kg whois.domain.kg
kh.ua whois.net.ua
ki whois.nic.ki
ki whois.nic.ki
kia whois.nic.kia
kiev.ua whois.net.ua
kim whois.afilias.net
kim whois.afilias.net
kinder whois.nic.kinder
kindle whois.nic.kindle
kitchen whois.donuts.co
kitchen whois.donuts.co
kiwi whois.dot-kiwi.com
kiwi whois.nic.kiwi
kiwi.nz whois.srs.net.nz
koeln whois-fe1.pdt.koeln.tango.knipp.de
koeln whois-fe1.pdt.koeln.tango.knipp.de
komatsu whois.nic.komatsu
kosher whois.nic.kosher
kpmg whois.nic.kpmg
